Name,Postal Code,Kind of build,Year of build
Brittanjesingel 58,6671,Bestaande bouw,1983
Willem de Zwijgerlaan 135,3931,Bestaande bouw,1965
Noorderbaan 106,4386,Bestaande bouw,1977
Molenwiek 26,4876,Bestaande bouw,2001
Populierepad 9,2803,Bestaande bouw,1973
Droge Wijmersweg 5 239,1693,Bestaande bouw,1995
Verspronckweg 133,2023,Bestaande bouw,1924
Waardijn 2,5406,Bestaande bouw,2004
Carolineburg 10,2135,Bestaande bouw,1989
Het Logement 18,9363,Bestaande bouw,2016
Vrouwenmantel 6,3621,Bestaande bouw,1991
De Buizerd 61,7609,Bestaande bouw,1978
Bachlaan 3,3706,Bestaande bouw,1986
Prisma 44,1704,Bestaande bouw,2005
Heereweg 62,1871,Bestaande bouw,1930
Stepke 17,6031,Bestaande bouw,1992
Jan van der Nootstraat 12,5615,Bestaande bouw,1949
Fazantenveld 43,5431,Bestaande bouw,1971
Mahonialaan 41,1702,Bestaande bouw,1972
Dennenlaan 14,6711,Bestaande bouw,1989
Aengwirderweg 61,8449,Bestaande bouw,1935
Warande 18,7621,Bestaande bouw,1922
Herderstraat 9,6045,Bestaande bouw,1935
Gilzerschans 15,3432,Bestaande bouw,1982
Ringdijk 15 H,1097,Bestaande bouw,1886
Fazantstraat 50,2406,Bestaande bouw,1962
Looplantsoen 60,3523,Bestaande bouw,1958
Waalstraat 88 1,1079,Bestaande bouw,1933
Waalsdorperweg 193,2597,Bestaande bouw,1937
Vestaplein 70,1521,Bestaande bouw,1958
Wilhelminalaan 5 b,5691,Bestaande bouw,2001
Ordermolenweg 5,7312,Bestaande bouw,1956
Reisvennestraat 8,5554,Bestaande bouw,1927
Kennemerstraatweg 393,1851,Bestaande bouw,1925
Hengeloseweg 10 *,7251,Bestaande bouw,1980
Heesterbos 12,4847,Bestaande bouw,1971
Hoeveneind 28,4847,Bestaande bouw,1963
Fitislaan 11,3893,Bestaande bouw,1999
Haverkampsweg 60,8161,Bestaande bouw,1910
De Hoven 16,7894,Bestaande bouw,1962
Prikker 9,8281,Bestaande bouw,2001
Mantingestraat 42,5045,Bestaande bouw,1996
Heikantstraat 19,5712,Bestaande bouw,1950
Jan Vermeerstraat 90,6717,Bestaande bouw,1989
Sprengenweg 120,7314,Bestaande bouw,1921
Stippelbergseweg 55,5425,Bestaande bouw,1964
Oostelijke Randweg 16,1723,Bestaande bouw,1978
Woolderbroekweg 30,7555,Bestaande bouw,1873
Lexmondplaats 46,6843,Bestaande bouw,1973
2e Kloostersteeg 2 -b,6701,Bestaande bouw,2001
Sint Jorisplein 9,2981,Bestaande bouw,1983
Lupineberg 94,4708,Bestaande bouw,1992
Schulpkamp 49,3861,Bestaande bouw,2011-2020
Zonnehof 2,2632,Bestaande bouw,2006
Willem-Alexanderstraat 33,5731,Bestaande bouw,1972
Ophoven 113,6133,Bestaande bouw,1935
Geldersekade 116 B,1012,Bestaande bouw,1800
Saenredamstraat 15,5643,Bestaande bouw,2002
Meervalweg 71,1121,Bestaande bouw,1985
Lingestraat 11,4535,Bestaande bouw,1974
Cosunpark 1 b1,4814,Nieuwbouw,Na 2020
Mauritsstraat 2,1091,Bestaande bouw,1988
Beeklaan 88,2201,Bestaande bouw,1968
Hertenlaan 42,6823,Bestaande bouw,1924
